,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Idaho
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,New Hampshire
20,New Jersey
21,New Mexico
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Tennessee
26,Utah
27,Vermont
28,Virginia
29,Washington
30,West Virginia
31,Wisconsin
32,Wyoming
